,fare_amount,pickup_datetime,passenger_count,distance_travelled,fare_per_km
11301,113.0,2013-12-06 02:17:00+00:00,2,0.00016916546860395174,667985.026332734
170081,499.0,2011-04-10 04:10:00+00:00,1,0.0007899213191009994,631708.4853057344
14116,52.0,2014-01-25 03:31:46+00:00,1,8.424911813583716e-05,617217.1430466367
198655,52.0,2014-08-31 20:02:06+00:00,1,8.436769956638652e-05,616349.6251202475
1531,50.0,2009-05-28 19:40:00+00:00,1,8.419568071893166e-05,593854.6915121899
163148,45.0,2012-04-11 22:34:15+00:00,1,8.423069402055406e-05,534247.0523752191
176333,45.0,2010-04-27 07:03:00+00:00,5,8.437015960784889e-05,533363.9311476861
53996,171.35,2014-01-08 01:09:06+00:00,1,0.0004184568698846961,409480.67132274515
167349,80.0,2011-04-09 21:47:00+00:00,1,0.00020191258805468985,396211.05732313864
141123,129.57,2009-09-26 00:59:00+00:00,1,0.00033358477983802537,388417.0017076729
40868,52.0,2014-06-05 16:38:29+00:00,1,0.00013949521092014236,372772.65403590625
93978,52.0,2014-11-26 20:33:55+00:00,1,0.0001685381562466166,308535.47444716335
70529,45.0,2010-12-29 20:05:00+00:00,5,0.000168739383757569,266683.44400648243
5968,105.0,2011-05-06 00:40:00+00:00,1,0.0004200872682945961,249948.06537761167
188234,165.0,2012-08-17 12:36:08+00:00,1,0.0006824749233275638,241767.12485713683
11102,80.0,2009-12-06 19:49:00+00:00,1,0.0003440601619287272,232517.47471005426
136534,50.0,2009-03-19 20:53:00+00:00,1,0.00023779227458799055,210267.55426193814
62497,32.0,2011-05-30 17:13:00+00:00,1,0.00016874799078034572,189631.88747920239
134673,45.0,2009-07-31 17:31:00+00:00,1,0.0002531073863596209,177790.1492612426
62784,100.0,2010-11-24 02:14:00+00:00,1,0.000590149506060069,169448.58713449707
40491,45.0,2010-07-21 15:58:00+00:00,1,0.00027915967392311985,161198.06764207975
184901,196.0,2009-09-17 09:38:03+00:00,1,0.0012594237973611692,155626.72422950287
17209,52.0,2014-01-12 16:53:20+00:00,1,0.00033693409788944785,154332.85121846537
174258,120.0,2011-09-11 18:14:00+00:00,1,0.0007879168939150736,152300.32624853746
119173,50.0,2013-09-18 17:27:00+00:00,1,0.0003440584706108824,145324.13607263917
61727,58.5,2013-02-07 23:20:39+00:00,1,0.0004037913778509128,144876.79333658103
198547,40.0,2012-05-04 07:38:00+00:00,1,0.0002789626594988841,143388.36628477156
196454,47.0,2011-04-09 01:34:00+00:00,1,0.00033671310161954236,139584.70809106226
174790,57.33,2015-01-14 00:50:18+00:00,2,0.0004241749828731711,135156.48568350798
1697,45.0,2009-09-18 15:09:00+00:00,6,0.00033747176225890985,133344.48991757657
146173,57.33,2014-08-19 19:04:49+00:00,1,0.0004527113231506617,126636.99154023734
8492,42.7,2012-02-13 01:11:00+00:00,1,0.00034407387818086513,124101.25472400556
144171,107.5,2010-11-23 18:01:00+00:00,1,0.0008749145767623875,122869.13814809517
123575,48.0,2009-07-22 02:03:00+00:00,1,0.00040375291155129837,118884.59160721474
155062,120.0,2010-09-22 05:59:00+00:00,1,0.0010293986485965607,116572.9138692799
15714,58.0,2011-10-14 23:59:00+00:00,1,0.00055597463329915,104321.30627224549
60639,49.57,2010-11-18 14:48:00+00:00,1,0.00047662702711338817,104001.6557605061
140184,33.33,2012-12-27 23:26:09+00:00,3,0.00033659976748123246,99019.67624460215
158400,57.33,2014-11-26 09:35:23+00:00,1,0.0005810158656989868,98672.00430237746
84854,92.0,2013-09-06 23:12:07+00:00,2,0.0009510183098174656,96738.41086998429
10842,71.0,2011-12-01 19:48:00+00:00,1,0.0007390541353260096,96068.74057836192
17572,55.0,2012-10-14 11:11:00+00:00,1,0.0005809592486567322,94671.01199811953
55975,50.0,2012-04-28 00:32:00+00:00,1,0.0005372164005793899,93072.36328986756
88588,75.0,2009-10-07 09:12:00+00:00,1,0.0008107907398757972,92502.28981585192
43217,52.0,2013-08-27 16:15:46+00:00,1,0.0006130063057557586,84827.83865639135
63042,35.0,2010-05-01 11:25:00+00:00,1,0.0004210343533989159,83128.60866922818
8243,17.3,2009-09-26 11:54:29+00:00,1,0.0002223898534611246,77791.3188518026
111521,49.75,2015-05-02 04:44:08+00:00,1,0.0006426741450659809,77410.92493287148
44373,132.32999999999998,2013-12-28 20:52:00+00:00,4,0.0017130673378375101,77247.40124170875
38720,54.5,2012-03-10 21:30:00+00:00,1,0.0008183721484858147,66595.61924344335
