,fare_amount,pickup_datetime,passenger_count,distance_travelled,fare_per_km
75851,15.7,2011-11-05 00:22:00+00:00,1,16409.239135313168,0.0009567780608555539
139447,13.7,2012-01-20 11:50:00+00:00,4,10321.50766127441,0.0013273254692627377
70889,4.5,2009-06-02 16:31:00+00:00,1,8667.693178155827,0.0005191692769352778
129303,10.1,2012-05-11 13:42:00+00:00,1,8585.32924516796,0.0011764254708908845
52972,10.5,2012-08-07 11:31:00+00:00,6,6032.1762006111185,0.0017406653338369405
11880,14.9,2012-02-26 00:01:00+00:00,5,6029.400743871023,0.002471224029211539
144073,6.1,2012-05-27 13:23:00+00:00,1,6028.73819442617,0.0010118203516682337
59717,7.3,2012-04-21 01:40:00+00:00,2,6028.283894390815,0.0012109582308810123
175276,12.1,2012-01-24 23:03:00+00:00,5,6022.95806204395,0.002008979620205714
1945,7.0,2013-02-10 16:18:00+00:00,1,6021.114288963912,0.0011625755074655012
138075,2.9,2011-09-05 19:28:00+00:00,1,6020.967776887161,0.0004816501445386076
77048,12.5,2011-10-11 09:33:00+00:00,1,6019.502069224716,0.002076583720089981
145709,7.7,2012-08-18 14:47:00+00:00,1,6008.955048039622,0.0012814208025257352
101779,6.9,2012-04-05 21:21:00+00:00,1,5954.050697207145,0.0011588749157336819
2167,5.7,2012-07-21 12:16:00+00:00,1,5941.05980139621,0.0009594247811914705
96511,29.7,2012-05-23 10:31:00+00:00,6,5940.745746042372,0.00499937234644079
177439,7.7,2012-04-11 23:06:00+00:00,2,5934.704576659668,0.0012974529566784137
87194,4.1,2011-12-23 13:33:00+00:00,3,5933.37035116987,0.0006910069247896537
6594,9.3,2012-06-05 19:05:00+00:00,1,5885.528611469774,0.0015801469356339672
190768,5.7,2011-10-08 09:25:00+00:00,1,5727.572530078316,0.0009951860007126022
17926,5.3,2012-02-18 11:43:00+00:00,1,5651.396519240892,0.0009378212946048788
77532,8.9,2011-12-29 08:15:00+00:00,1,5494.9937792682795,0.0016196560646853245
136727,8.1,2011-11-22 16:13:00+00:00,2,5457.044857844033,0.0014843198491133797
36780,5.7,2012-03-07 11:21:00+00:00,2,5448.440371149321,0.0010461709428229667
36390,5.3,2012-03-20 15:05:00+00:00,1,5445.822216808164,0.0009732231036925713
199641,8.1,2012-06-22 12:36:00+00:00,5,5419.53375287523,0.0014945935147470388
99263,6.1,2012-02-17 01:15:00+00:00,1,5419.247635159903,0.0011256175046187955
60414,7.7,2012-01-14 01:33:00+00:00,1,5418.65881402757,0.0014210158388394192
169299,8.9,2012-05-25 14:12:00+00:00,1,5415.607670292539,0.0016433982189701791
130112,10.9,2012-06-10 14:33:00+00:00,1,5414.242157130728,0.0020132088081144203
48506,33.7,2011-11-05 23:26:00+00:00,1,4852.352519870457,0.006945084855644348
161652,4.1,2010-05-12 12:19:00+00:00,1,4838.094256605658,0.0008474411167996765
103745,12.9,2011-10-14 19:04:00+00:00,1,4773.694612189273,0.0027023094370261583
199936,4.1,2012-07-21 16:19:00+00:00,5,4757.216152735343,0.0008618485829454161
32549,15.7,2012-06-16 10:04:00+00:00,2,4644.267681327299,0.003380511434154254
146281,6.1,2012-01-15 20:37:00+00:00,1,4523.262351312923,0.0013485841691736966
113876,8.9,2011-10-24 20:05:00+00:00,1,4461.127769018801,0.0019950112305251243
185571,17.7,2012-05-05 16:29:00+00:00,6,4458.119542315768,0.00397028384546318
151065,7.3,2012-05-07 21:13:00+00:00,1,4454.5583689038285,0.0016387707591754765
19846,10.5,2011-09-11 11:58:00+00:00,3,4445.3824536070115,0.0023620014947150912
111538,10.9,2011-11-07 17:52:00+00:00,5,4442.893491601408,0.0024533561339259513
82680,5.7,2011-12-15 09:18:00+00:00,2,4081.372866591482,0.0013965888896498445
72518,7.3,2011-02-25 21:50:00+00:00,1,4079.1867834766,0.001789572379860079
133401,45.0,2011-12-30 20:46:00+00:00,1,4068.790187864378,0.011059798594240012
139976,7.7,2012-04-25 17:53:00+00:00,6,4004.2495189295864,0.0019229570893619936
4949,4.9,2012-04-28 00:58:00+00:00,1,3828.760217339623,0.00127978763930135
40908,8.1,2009-07-30 19:51:48+00:00,1,3487.793778819806,0.002322385012895133
91422,16.1,2011-05-18 13:24:00+00:00,1,2246.8933010552278,0.007165449286104872
144253,7.3,2009-08-26 11:55:00+00:00,1,2136.0436878413107,0.003417533097076957
73663,8.1,2012-07-17 19:52:00+00:00,1,1340.1064013338132,0.006044296178227369
158247,8.1,2010-05-05 16:57:29+00:00,1,1151.026507851593,0.007037196749811404
173360,9.7,2011-01-05 14:38:22+00:00,1,973.3693039486276,0.009965385142772024
158815,8.0,2014-04-30 07:17:34+00:00,1,807.6147102689096,0.009905713576386269
117619,6.5,2013-03-31 19:19:00+00:00,6,734.663212916581,0.00884759150277211
199403,7.0,2013-01-20 17:58:29+00:00,1,565.2345822571423,0.012384238720934256
187422,7.3,2011-10-01 11:11:48+00:00,1,539.6660221135546,0.013526884593197456
56617,8.1,2012-03-11 07:24:00+00:00,1,407.45723632744995,0.01987938678671667
132596,14.5,2012-10-10 18:42:00+00:00,1,367.44214503047544,0.03946199475511275
118321,9.7,2012-02-28 22:42:00+00:00,3,285.46291107643793,0.033979895894085684
